entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
0,4,[80880.266 72779.7   42110.105 13561.51 ],[1.1642839 2.0332124 1.0718737 0.7057031],[1.9522383 1.1036478 1.4893446 1.7686831],[142178.36  282730.94   68707.13   17080.934],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[ -727.2268 -1244.7495   384.9629 -1038.08  ],3.4286315281547536e-05,125.69652482308275
1,4,[57186.625 40846.812 35407.5   10427.198],[-1.045693   -0.71448267 -1.1802591  -0.19525054],[ 1.0895787 -2.7056947  1.7619548  2.492076 ],[91407.62  51723.8   63068.223 10627.112],[-1  1  1 -1],[11 11 13 13],[   0.     2543.9185    0.        0.    ],[ -725.0716  1255.7515 -1364.857   1681.8495],1.3903930042402813e-05,126.7639245885185
2,4,[92854.95  25943.02  10871.199  8797.154],[-0.34508747 -0.6153273   0.1910661   0.38219404],[-2.949425   1.0883744  1.514339   0.402506 ],[98438.875 31011.326 11070.237  9447.523],[-1  1 -1  1],[11 11 11 11],[1484.1315 1723.6179    0.        0.    ],[-292.81607 -303.88385   44.17163  524.1249 ],1.2752922564705055e-05,123.30262835323308
3,4,[59929.824 32206.459 22281.912  8454.268],[ 0.0272467  -0.6748876   0.0703223   0.66487366],[ 1.7407277  -2.1873782  -3.0045428   0.31145757],[59952.07  39823.703 22337.28  10393.298],[ 1 -1 -1  1],[11 11 13 13],[1527.413    0.       0.       0.   ],[1528.581    -176.7027   -207.11688   -13.378601],2.817882715139683e-05,120.33516114575615
4,4,[43399.035 28301.799 24726.49  21201.86 ],[ 0.65780556  0.12333652  0.34402263 -0.87158394],[ 1.0584576  2.4154603  1.3777769 -2.6535623],[53132.094 28517.334 26204.188 29777.832],[ 1  1 -1 -1],[11 11 11 11],[0. 0. 0. 0.],[-2364.9429 -1067.4915 -1036.6637  1420.139 ],7.329434755257016e-06,115.04999879957607
5,4,[56353.234 32600.32  16245.607 11308.608],[-0.15369397 -0.7822166  -2.3525531  -0.46948892],[ 1.8739536  2.9019027 -3.1011355 -2.7279527],[57020.13  43092.8   86162.65  12577.991],[ 1  1 -1 -1],[11 11 11 11],[0. 0. 0. 0.],[ -43.02191  2773.8118    -26.483536  574.7269  ],3.493633843170432e-05,120.85003112391227
8,4,[43977.05  41063.055 18032.184  9585.489],[-1.5116218  -0.4003874  -0.72573864 -1.4827955 ],[ 1.7737817  -2.0702062  -0.59983397 -0.29120082],[104547.37   44398.797  22993.295  22201.422],[ 1 -1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[ 781.7334 -704.998   678.3565 -704.998 ],1.8629063394573957e-05,127.72157271525103
10,4,[78201.12  39828.79  34061.65  10151.555],[1.179351  1.8387358 1.1620016 2.437885 ],[-2.4957004  2.3538752 -1.9399438  2.6486673],[139187.86  128400.086  59764.39   58555.008],[-1  1  1 -1],[11 11 13 13],[1357.1299 2254.0886    0.        0.    ],[-1324.2631    948.42926  -938.9879   -468.71915],1.6699341752203594e-05,126.51356297920292
12,4,[93061.58  28982.207 12860.219 12819.279],[-0.3550423   0.6397921   1.1117009  -0.44805437],[ 0.59031856  0.21337745 -2.400153    0.03171697],[98988.89  35119.023 21659.97  14127.703],[-1  1  1 -1],[11 11 11 11],[   0.        0.     1286.5181    0.    ],[5439.179   2215.0166  -146.445    184.61935],1.6437274253910965e-05,120.49548038294691
14,4,[93775.54  42418.332 14136.584 11247.758],[0.5539851 0.362852  0.9734881 0.6498637],[ 2.0774264   0.986529   -2.5295427  -0.39673862],[108537.18   45241.535  21381.314  13708.031],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[-156.17303 2553.7024  -373.53314 -967.9489 ],1.3293647671160768e-05,123.44139015796719
