entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
0,4,[63923.805 42847.305 15393.414 13567.796],[-0.2956075 -1.4793512 -1.1165816 -1.1453453],[-0.26682487  1.0593069   0.2844749   1.0686532 ],[66737.24  98931.95  26028.664 23483.418],[-1  1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-1004.72156   149.34106  1458.2501  -1218.2954 ],4.376962188110034e-08,109.99316045228
2,4,[76425.484 36745.63  33675.18  17161.502],[-1.1126827 -0.9973626 -0.8005571 -0.6236606],[ 1.2405757  -0.74699354  0.49992895  1.8630786 ],[128822.29   56587.87   45055.152  20608.867],[ 1 -1  1 -1],[13 13 13 13],[1332.6113    0.        0.        0.    ],[ -561.82263 -1208.8523   2317.7852   -600.80615],1.065438139078013e-07,124.29558963456478
3,4,[43783.777 30890.744 17438.334 11422.894],[ 1.5238160e+00  9.5277143e-01 -8.8350399e-04  1.8990133e+00],[ 0.02718011 -2.7079866   0.07519604  2.346065  ],[105247.12   46004.91   17438.34   39003.566],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[  21.563538 -485.2848   -225.07233    49.36438 ],7.333482592327118e-08,120.7693541566173
4,4,[179903.77   88327.336  30731.39    8973.982],[-0.9758958  -0.33298433 -0.9337518  -2.2786183 ],[ 3.0331767  -0.46021703  1.4588885   0.5601624 ],[272590.     93269.61   45130.895  44266.895],[-1  1 -1  1],[11 13 13 11],[0. 0. 0. 0.],[  28.160492 -301.32104   180.60779   237.73567 ],1.238401870020167e-07,319.9066306666
5,4,[72132.93  32123.24  15567.47   7412.739],[2.4290044  2.3821871  0.79777384 0.7370081 ],[-0.22853146  0.28757897  2.483475    0.41276163],[412445.4  175407.52  20790.02   9519.35],[-1  1  1 -1],[13 13 13 13],[   0.        0.     1046.7429    0.    ],[-239.34064   -51.459473 -120.033264  268.69635 ],1.3101841672204335e-07,122.59425035237851
6,4,[86696.54   59511.637  40536.348   8154.8994],[-0.14869422 -0.74397224  0.3293434  -0.6686503 ],[-0.22645757  0.1675971   1.170972   -0.26057395],[87656.734 76755.21  42754.723 10047.396],[-1 -1  1  1],[11 13 11 13],[2000.1462 1058.9869    0.        0.    ],[ 771.02295  -138.17975   -27.59378   109.532715],1.4876928855177562e-07,125.73812766195314
7,4,[69766.95  19776.361 15040.733 14920.371],[2.104021   0.8242979  2.2999282  0.16769904],[-0.35648924  0.54983366 -0.10593975  1.703711  ],[290266.72   26884.41   75758.234  15130.666],[-1  1 -1  1],[11 13 13 11],[0. 0. 0. 0.],[-474.53607 -347.78564 -207.61235 2652.7603 ],2.0536120039248147e-07,124.50284187569235
8,4,[91193.04  24378.744 20482.557 10944.904],[0.05340891 1.650274   1.4540193  0.5695189 ],[-2.6285956   1.8896935   1.1276053   0.32065514],[91323.195 65827.625 46228.363 12768.84 ],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[1983.9304  -563.09204 -884.98816 2113.3035 ],3.0330618418025473e-10,170.58918975922387
9,4,[74958.93  74318.27  53740.523 37666.15 ],[ 0.04676504  0.3426994   0.07322476 -0.24519733],[ 0.8798458 -1.1915942 -2.7106907  2.9606106],[75040.984 78725.3   53884.766 38804.254],[ 1  1 -1 -1],[13 13 13 13],[0. 0. 0. 0.],[-827.16846  785.7053  -486.73096 -266.49707],4.7545900556551616e-08,243.56058242112087
10,4,[38118.43  20434.809 16436.771 14075.675],[-0.94420576  1.2404413   0.27461514 -0.14524962],[-2.9762805   0.7583695  -0.29129687 -2.093066  ],[56410.688 38278.438 17060.781 14224.809],[ 1 -1  1 -1],[11 11 13 13],[   0.        0.        0.     1109.4529],[-207.91876 -756.64087 -645.03296 -645.03296],6.70642442933623e-08,124.67529953210982
11,4,[47274.723 37499.863 16478.518 13092.654],[1.1206198  0.3540452  0.5709975  0.72477007],[ 0.48019925 -2.2852051   0.47523248 -3.1105812 ],[80197.59  39874.78  19238.615 16684.574],[-1  1 -1  1],[11 11 11 11],[   0.        0.        0.     1406.6389],[-1626.5771  2463.615   2053.1675  1536.1399],8.02856360066541e-08,119.382970503795
12,4,[70318.34  37308.113 17812.15   9872.518],[-0.9640952 -0.596136  -1.195424  -0.5688794],[-1.9607282   0.16325288 -2.5850663   1.5539055 ],[105609.08   44136.02   32129.145  11514.043],[ 1 -1 -1  1],[11 11 13 13],[1859.0953    0.        0.        0.    ],[1986.0471   593.0786  -463.2234   381.14282],9.796157249996821e-08,125.36071287186081
13,4,[31324.96  29822.27  27950.152 18620.604],[ 0.08751104 -0.7107933   0.9094991  -0.08917294],[-2.8252523  -0.64931935  0.54419    -1.7328936 ],[31444.984 37678.348 40329.336 18694.686],[-1  1  1 -1],[11 11 11 11],[   0.        0.     1348.2211    0.    ],[ 1364.1292    -79.82132  -489.51263 -1151.8954 ],8.474737039035797e-08,123.06677499264843
15,4,[35479.684 29156.78  23097.848 13506.05 ],[0.47643146 0.36756745 0.6913898  2.2409039 ],[ 0.65650564 -2.4055398   0.05421361  2.7668371 ],[39583.14  31148.68  28842.104 64209.113],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-638.79474  786.3733   765.9381   222.78867],1.437704494828542e-07,121.17462944111074
16,4,[58290.742 57417.062 17658.55   9241.508],[1.3031265 1.1398664 1.609615  1.0772165],[ 0.15818633  2.0337508  -0.6511917   2.4219935 ],[115196.13   98935.695  45919.86   15142.748],[-1  1 -1  1],[11 11 13 13],[3318.4846    0.        0.     3427.843 ],[-206.96625  -84.23016 -223.57768 -560.7601 ],1.319717522108078e-07,127.18864329638691
22,4,[53853.613 39435.227 16942.857 14757.01 ],[0.5914367  0.56491405 0.80761033 0.99792486],[ 2.0794036 -1.1901593  1.205046  -0.6962488],[63550.32  45896.797 22775.385 22735.562],[ 1 -1  1 -1],[11 11 13 13],[   0.       0.    2751.335    0.   ],[-756.8027  -133.34348 1132.4543  -499.1928 ],4.6419852823988596e-08,125.07476499647528
23,4,[78556.1   60482.785 30234.57  10853.087],[-0.8566472  -0.18641938 -0.630909   -0.36127213],[ 0.16613422 -1.0085093  -1.5416913  -0.4035619 ],[109186.51   61536.88   36454.215  11569.083],[-1  1  1 -1],[13 13 11 11],[1877.3866    0.        0.        0.    ],[  7.7573853 -16.894714  623.7218    272.35632  ],6.843483645570754e-08,124.85131348010475
24,4,[88910.16  36634.086 36506.617 16686.023],[-2.3857458 -1.7789346 -2.261359  -2.4311316],[-1.1289793  -1.0796397   0.7041462  -0.18335828],[487191.4   111594.07  177063.14   95608.305],[ 1 -1 -1  1],[13 13 13 13],[1173.1924 1294.7       0.        0.    ],[ 656.7926  -339.43542 -339.43542 -339.43542],8.402285925654092e-08,124.32317896350779
25,4,[52061.51  36116.594 15187.388 10596.962],[ 0.00286814  0.5268814  -0.76160187  0.37150386],[-2.542712   0.7045985  0.2358384  2.5162008],[52061.832 41246.832 19809.078 11336.682],[-1  1  1 -1],[13 13 11 11],[   0.        0.        0.     1922.1271],[-1116.6708   1739.3207    271.15277  2214.825  ],6.877389714371681e-08,123.52417332805408
26,4,[89095.52  61296.24  36093.395 12098.984],[-1.0920302   1.2568026  -1.7753862  -0.19219741],[ 0.7265441 -1.9189467  2.289702   0.84284  ],[147713.88  116423.914 109579.2    12323.141],[ 1  1 -1 -1],[13 11 13 11],[0. 0. 0. 0.],[-298.25433 1273.2043  -218.4009  2186.1301 ],9.596396942424773e-08,362.1706494451368
29,4,[78952.76  37795.703 25434.758 16478.518],[-2.0184636  -0.95711017 -2.3299744  -1.654425  ],[-1.8063953 -1.5523398 -1.3841577  2.1071272],[302373.75   56469.92  131942.55   44667.402],[ 1 -1 -1  1],[13 13 13 13],[   0.        0.        0.     3210.2488],[1296.8573  -150.0245  -187.11047  148.86508],9.988704116243362e-08,125.2219298217688
32,4,[50369.52  38849.797 12200.908  9196.985],[ 0.5922841  -0.12644885  1.3416541   0.38630483],[-2.556983    0.76771957  2.1726885   0.24988613],[59465.75  39160.945 24931.205  9891.802],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[ 814.21533 1013.7312  1071.0876  2202.3367 ],6.430744205516815e-08,121.73787470179927
33,4,[148582.25   59495.11   52685.836  31111.29 ],[-0.4928686  -0.78579396 -0.9982835  -0.77059096],[ 2.895534   2.7732737  1.9375926 -2.9585748],[166997.34  78828.23  81192.41  40814.63],[-1 -1  1  1],[13 11 13 11],[1115.0254    0.        0.     2328.9194],[-315.40112 5167.5176   186.9773  -304.19244],9.318656890765508e-08,127.69607060301544
34,4,[38248.137 32083.6   26864.295 17680.393],[2.2926738 1.4771516 1.6520163 1.0348773],[-3.1342008  -0.55793846  3.1067026  -0.4111858 ],[191286.1    73932.52   72656.61   28023.895],[ 1 -1 -1  1],[13 13 13 13],[   0.     1056.7584    0.     1165.9545],[154.4805   92.09253 380.32047 327.16272],1.0332628534961064e-07,122.56712275147241
35,4,[84500.53  28594.867 20314.36   9585.562],[1.2025127 0.8441828 1.0972494 1.7949166],[-3.1087687 -0.8711293  1.9388732 -1.826406 ],[153322.38   39403.65   33820.383  29643.896],[-1  1 -1  1],[13 13 11 11],[   0.        0.        0.     2370.2493],[-567.1615  -906.30225  364.28198 2081.5352 ],1.3982545562568665e-07,124.53999174635682
38,4,[64260.746 23796.39  19273.361 11673.131],[0.7732422 1.0867002 2.426953  2.3247864],[-2.1206534 -2.6691864  1.727344  -2.933242 ],[ 84448.08   39285.504 109979.875  60246.78 ],[-1 -1  1  1],[11 11 11 11],[   0.        0.        0.     1329.3677],[1437.063     35.32898  378.14282 1829.5682 ],8.323835388099034e-08,122.45928786721363
39,4,[57164.457 38674.082 12404.012 10231.595],[-0.5119248  -0.82112324 -0.2528029   0.22552304],[ 2.8654225   0.5440527   0.44162855 -1.9882668 ],[64819.934 52461.176 12802.493 10492.893],[ 1 -1 -1  1],[11 11 11 11],[1088.7039 1470.5079    0.        0.    ],[3227.0393  1494.2317   140.36243  874.1133 ],9.505888813757577e-08,118.64704931402017
40,4,[99081.04  28961.693 27198.719 20557.33 ],[ 0.5061011  -0.01805825  0.50684035 -0.17676334],[ 1.3676234  1.4152708  2.0758557 -2.1195173],[112043.44   28966.607  30767.83   20879.326],[-1  1 -1  1],[11 13 13 11],[   0.     1206.8462    0.     6790.92  ],[-687.8592     93.885284 1910.426    1112.6963  ],1.257301971691195e-07,125.71758507844484
41,4,[91146.984 18506.367 12504.696 10001.599],[ 0.797516    1.7125338   1.5132769  -0.30037773],[ 0.43820572 -3.0382285   0.2102026  -1.8807274 ],[121702.51   52959.746  29772.47   10456.741],[ 1 -1 -1  1],[13 13 13 13],[2178.273     0.     1131.9764    0.    ],[-321.8736  -301.39838  154.57458 -581.3863 ],1.297326823154068e-07,126.98207527948831
42,4,[48268.656 35757.71  13238.356  9145.357],[-1.1798588  -0.10092268 -1.6381167  -0.38888296],[-0.29345393 -2.6044235   0.23183401  2.123518  ],[85948.06  35939.97  35345.19   9845.643],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[ 796.88354 -761.6894  2314.992    123.46747],1.554383972778829e-07,120.6094551011732
44,4,[53874.496 29834.664 26775.283  9232.476],[-0.74555117  0.32704455  0.89348143 -0.9899023 ],[-2.4850743 -1.3983403 -0.9646529  3.0657456],[69554.01  31444.467 38192.94  14137.619],[-1 -1  1  1],[11 11 11 11],[0. 0. 0. 0.],[-725.23584 1116.9347  2035.6836    91.50079],1.4743945450384776e-07,123.3855355688179
45,4,[64745.777 46901.754 15430.755  7148.686],[ 1.0766559   1.6801895   1.1256946  -0.14271905],[ 1.7751473 -0.0903133  0.8845036 -2.4627345],[106040.04  130220.64   26284.838   7222.387],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[  82.09723   93.36267 -620.6631   444.61084],1.7745469198001862e-07,126.33849078210801
