entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
11,4,[47592.39   43458.098  10026.11    7162.6626],[-0.8090483 -0.6145289  2.0875025  0.6384636],[-2.2826285   0.6541073   0.18135798  0.8925741 ],[64036.78  51925.496 41050.63   8672.812],[-1  1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[ 13.495911 814.1463   810.20703  704.20374 ],0.16945106479105196,162.56035124897875
14,4,[51710.316  30980.805  11872.697   7892.9395],[ 2.211758    1.0357504  -1.5491847  -0.49692452],[ 3.0596266  -0.21164392 -0.01845131  2.6533346 ],[238934.31   49138.336  29207.332   8888.304],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[ 121.10675  469.27588 -560.1448  -355.3235 ],0.17488637709845448,219.56280606830467
16,4,[65519.844 17793.098 14570.528  7871.123],[-1.8400015   0.01419432  0.10441768  0.54491776],[ 0.4868397 -2.3558335 -1.6149002 -2.8749647],[211477.25   17794.89   14650.032   9068.935],[-1 -1  1  1],[11 11 11 11],[   0.     1409.3235    0.        0.    ],[ -73.58493  338.71246 -257.29022 1303.697  ],0.3814429481306463,157.10872883710383
20,4,[51620.113 26189.412 15450.295 14616.027],[1.2000214  1.9465107  0.32772604 0.3219015 ],[-0.14042452  2.4393225  -2.5966632  -2.6750665 ],[93467.914 93587.555 16287.805 15380.213],[-1  1  1 -1],[11 11 13 13],[    0.        0.    15808.035 16737.812],[1413.7856   205.56223 -122.77554 -122.77554],0.260966099202324,127.32346560996305
21,4,[49097.43  18737.934 11769.221  7947.696],[-1.0622535  0.8695862 -1.5491946 -0.4963608],[ 2.2721536  -1.0716466  -0.01850439  2.653314  ],[79502.45  26280.404 28953.041  8947.64 ],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[ 173.57343 -907.23083 -604.6704  -382.63654],0.156881696135744,118.92667846040045
23,4,[48186.113 31123.424 11911.186 10961.614],[ 0.68842345 -0.7072213   1.8035007  -0.5587198 ],[ 1.5232688 -1.5922085 -1.5769993  1.0443562],[60062.598 39236.67  37136.746 12717.959],[ 1 -1 -1  1],[11 11 13 13],[   0.        0.     6261.9263 1372.3976],[ -18.139984     5.3960876  -44.151855  -641.15533  ],0.2819444536629611,142.57864513595447
40,4,[34861.438 25874.387 15738.098  8076.632],[ 0.87910765 -0.7108988   0.01346362 -0.70830894],[ 0.0629035 -2.8701706  2.9070287  2.3593595],[49222.652 32692.582 15739.879 10189.344],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-1106.2487   -438.96414   -61.21057  -828.1433 ],0.14374319055424123,106.80527648699282
42,4,[62957.95  34797.64  10646.793 10463.892],[0.7479746 1.1202703 1.3664724 1.579312 ],[ 2.167434  -1.4810117 -1.0116336 -0.9864572],[81405.914 59014.61  22233.404 26461.998],[ 1 -1 -1  1],[11 11 13 13],[ 1843.076     0.    14836.997 10551.98 ],[-627.7225  -471.09912 -156.15295 -402.8879 ],0.3042110624927708,121.88016833476246
47,4,[70935.484 26745.209 11963.767  7319.476],[-1.600362  -1.2540418 -2.1685698 -2.3541782],[ 1.01655   -2.3937564  1.9499314  1.6763426],[182894.69   50679.87   53000.24   38882.824],[-1  1  1 -1],[11 11 13 13],[   0.        0.     1222.7795 1222.7795],[ -92.51495  507.9084   464.24844 1805.4589 ],0.15492599202539264,105.98611521912558
72,4,[70902.2   34839.65  33266.633 10666.473],[ 1.2692751   1.331103   -0.08330444  0.38224488],[-1.6927378   2.1835675   3.1214228   0.75669116],[136107.67   70539.87   33382.297  11455.739],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[ -654.4957  -1621.4828     86.92163  2769.1394 ],0.0,164.77358815804718
81,4,[52143.54  20052.305 17112.736 15399.76 ],[ 2.2043853  0.4470933 -0.5886621 -0.65288  ],[-0.7178586  2.5041263  1.8018657  1.6855491],[239208.38   22090.064  20164.607  18800.4  ],[ 1 -1  1 -1],[11 11 13 13],[    0.        0.    15448.851 16878.285],[ -814.61163   326.0857  -1017.47736  -504.73956],0.17327628095478242,201.98592775148086
82,4,[258896.06   52375.05   45267.52    9123.986],[-0.02614598 -1.5842601  -1.8475128  -0.9102386 ],[ 2.8518333  -0.14628161  2.883506    0.8747247 ],[258984.58  133053.11  147156.78   13172.466],[-1 -1  1  1],[13 11 11 13],[   0.        0.     2249.4714    0.    ],[-543.9923  -725.06287   60.31006 -347.14966],0.14528480837617908,406.7312401717011
88,4,[41000.25  28505.506 11203.023  7840.007],[-1.0600951  -2.0833616  -2.332068   -0.43420762],[-2.9119096   0.01161845 -2.7795136   0.17935178],[ 66278.305 116244.5    58235.164   8591.404],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-423.0294   694.68445  -75.02892  591.6472 ],0.112961567013724,104.98167013997474
