entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
1,4,[46588.836 40959.285 14568.773  9568.289],[ 0.24793154 -0.5173221   0.85499936  0.12153917],[ 1.3595155  -2.1079504  -0.37364468  2.6739085 ],[48028.21  46563.54  20226.238  9639.047],[-1  1 -1  1],[13 13 11 11],[   0.        0.     1474.6416    0.    ],[-898.5919  -641.6315  1613.7444   669.94415],0.14136532925289896,123.86140367601277
12,4,[39213.63   34120.93   31244.146   8034.3237],[-0.12778218  1.2294751  -0.08568338  1.8673233 ],[-1.234832    1.7671447   0.47761363  2.3406932 ],[39534.35  63326.492 31359.086 26615.871],[ 1 -1 -1  1],[13 13 13 13],[1724.6509    0.        0.        0.    ],[-934.71387    15.470215 2486.946    -193.819   ],0.18294923292525941,140.50532362266264
15,4,[50156.152  16485.232  13232.923   7900.0176],[ 2.2041407   0.6971447   0.55542177 -1.5984617 ],[ 0.15404096  2.4491518   3.0505419  -1.0304204 ],[230036.34   20656.13   15327.437  20333.17 ],[ 1 -1 -1  1],[13 11 13 11],[   0.        0.     2238.2283    0.    ],[ -224.17834 -1960.6025   2364.2725   -347.438  ],0.3371247440411963,173.2501498485806
22,4,[225471.1   79414.67  67553.22  49817.82],[-0.0355177  -0.5947807   0.08204968 -0.68944305],[-2.1220508  2.6424456 -2.3371825 -2.4569287],[225613.34   93880.78   67780.82   62134.395],[ 1 -1 -1  1],[13 13 13 13],[   0.       0.    1252.303    0.   ],[-1032.6849 -1406.6307 -1406.6307  1296.7382],0.312888511804499,253.7623439578352
24,4,[44845.223 42820.6   11753.655  7904.224],[ 0.9875759   1.3262613  -1.5492158  -0.49686894],[ 2.1175942  -0.8858749  -0.01847196  2.6533735 ],[68550.42  86334.99  28915.309  8900.783],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[-524.1927  -861.55524 -397.96085 -861.55524],0.1866325735400459,166.467535302694
26,4,[47736.75  43549.02  40664.734 23357.24 ],[-1.4516435  -1.4044442   0.06532168  0.0110901 ],[ 2.8778608  -0.04229564  0.29460046  2.1575546 ],[107510.65   94039.06   40751.66   23358.916],[-1  1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[-1569.8022   607.3457 -1277.0256  4884.9155],0.09383584516431256,192.43266970455494
33,4,[37336.7   33158.4   16060.213 10351.152],[ 0.39188477 -1.1270818  -1.61457    -1.8277792 ],[-2.3689528   0.63652164 -0.46938825 -0.36769193],[40240.684 56545.332 41954.918 33024.46 ],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[ 166.87   -589.391  3295.4612 4093.4233],0.13528817036625157,135.82124528842508
34,4,[71220.82  45284.477 41032.69  12004.768],[ 0.04598087 -2.0660298  -1.4153116   0.09927861],[ 1.0006249  -2.8227577   0.08694654  0.5135888 ],[ 71296.2   181593.27   89464.03   12064.439],[ 1 -1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[ 633.9768  -222.17209 -471.57263 2768.5166 ],0.0,239.64723341553614
35,4,[49593.492  43237.14   11735.937   7953.4526],[-0.83941305 -1.1647483  -1.549241   -0.49636135],[-1.0152438   2.1934578  -0.01848556  2.6533442 ],[68116.05  76035.12  28872.383  8954.122],[-1  1 -1  1],[13 13 13 13],[   0.        0.     1589.2651    0.    ],[3038.5513  -942.46155 -683.2426  -535.8534 ],0.0,116.39150886521641
37,4,[52628.824 30168.986 21431.062 14137.886],[ 2.4842925   2.212872    1.8130822  -0.47143775],[ 0.9855135  -1.5479615  -1.5741972   0.56507146],[317773.3   139551.52   67427.06   15738.299],[ 1 -1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-162.90826    73.324646 -542.7552   1813.2778  ],0.2893603451510609,183.5760741064239
41,4,[44812.973  37244.06   11815.137   7991.9575],[ 2.059052    2.457731   -1.5491483  -0.49634466],[-0.88538337  2.04667    -0.01848248  2.6533556 ],[178492.56  219067.95   29064.768   8997.396],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[ -20.689331 -208.55798  -208.55798  -424.051   ],0.29288105306329243,247.71688156209072
42,4,[48534.934 31291.393 15831.689  9765.761],[ 0.9189718 -0.2007844  0.5035736 -0.7431453],[ 2.5002122  -0.89420265 -1.0075431   0.21444911],[70512.62  31924.436 17881.82  12588.816],[-1  1  1 -1],[13 13 11 11],[   0.        0.     5116.1055    0.    ],[-902.02747 -841.1266  -903.7478  3396.306  ],0.1013511309551488,124.8024322742936
45,4,[39911.984  36643.062  11844.318   8107.6597],[ 0.86393625  1.9866637  -1.0801051  -1.3683571 ],[ 0.28914982 -2.7644572   0.94187754  0.84992725],[ 55756.758 136098.23   19451.621  16958.854],[-1  1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[  393.9077    380.19916 -1097.254   -1259.4231 ],0.1390554535684444,179.27076575989625
46,4,[58422.523 45294.895 11690.303  8729.694],[-0.5727958  -0.6610927  -0.07062977 -2.4682367 ],[-0.8592611  1.423628  -2.9432893  1.4991146],[68271.6   55558.695 11719.474 51882.113],[-1  1  1 -1],[13 13 11 11],[   0.        0.     3010.6704    0.    ],[-487.562    -64.23877 1511.8896   724.4132 ],0.1922164040707865,140.20312585758924
47,4,[38072.664 37779.547 30247.562  9307.13 ],[-1.8816496 -0.8100483 -1.6027856 -1.467397 ],[-0.6797892   2.2916665   0.04448352 -0.08063179],[127860.67   50867.496  78162.55   21259.857],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[-337.6618   560.67975 1452.9048  2166.2048 ],0.28932466066261403,119.28742346463301
49,4,[83416.34 59407.92 45931.1   7476.36],[-0.00604626 -1.5651716  -0.75983715  1.4583255 ],[-1.2715828  -0.6731406   2.6664054  -0.05210118],[ 83417.94  148298.48   59840.754  16939.445],[-1  1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[-928.5608  1052.4164  -501.79834 -805.98944],0.0,243.0199016722526
56,4,[184831.92   54850.895  38743.734   9979.714],[ 0.03393522 -2.2802236  -2.0228615  -2.0430892 ],[-1.5968993  0.6358516 -2.904016  -1.9501262],[184938.39  270994.38  149012.38   39140.734],[-1 -1  1  1],[13 13 13 13],[   0.        0.        0.     3929.9707],[1686.6342  -145.33337  813.2377  -846.841  ],0.0,437.4906636628869
63,4,[32240.822 26613.83  11840.859  8013.312],[ 1.1196066  -1.0680058  -1.5492287  -0.49684477],[ 1.3563776   1.2827499  -0.01845276  2.6533437 ],[54649.215 43291.047 29130.182  9023.507],[-1  1 -1  1],[13 13 13 13],[1422.4296    0.        0.     1387.5426],[ 763.54626 1135.8328  -593.01965  913.6306 ],0.0,118.54928891600132
65,4,[74129.33  30408.766 29718.697  9029.002],[-2.3197482  -0.02138079 -1.7271518  -0.03466613],[-2.4762304  2.5202866  1.2968286  2.5723014],[380706.38   30415.9    86219.96    9035.046],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[ 110.26622 1499.5154   269.92676 1499.5154 ],0.274517311071172,205.54392837039927
