entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,mllll
0,4,[41584.86  35543.598 15191.824 12317.306],[ 0.9956416  -0.42482552  1.3138484   1.5817932 ],[ 1.5080388 -2.5353267 -2.320464  -1.9395958],[63956.402 38799.523 30302.158 31220.088],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-966.5947  -900.5      -77.71448  204.67114],132.43359170100828
1,4,[124525.93   79772.945  33147.5    24046.527],[-0.8574264  -2.212514   -0.34005564 -0.89770794],[ 0.8905601 -2.096978   2.337252   2.5546496],[173174.42  368873.56   35082.594  34404.266],[ 1 -1 -1  1],[11 11 11 11],[   0.        0.        0.     2102.2253],[-2242.9111    114.8035   -547.8251     70.04724],320.7258798793518
2,4,[48009.613  24785.395  17130.744   7374.3784],[ 0.09116384  0.41168916  0.21966352 -0.0592439 ],[-2.1814575  1.3623025  2.2427015  2.8545153],[48209.25  26915.643 17546.023  7388.079],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[ 891.3291   131.85748 -419.45367 -691.34576],89.8228061257343
3,4,[104541.9    73767.77   45202.016  33193.484],[-1.3032799  -1.2650042   0.12914065 -0.90174645],[ 2.2659733  -0.33107948  2.6995263  -1.2154063 ],[206626.58  141093.66   45579.465  47628.83 ],[-1  1  1 -1],[11 13 11 13],[1572.1786 1141.6729    0.        0.    ],[ 521.5664  -401.79318  -82.07333  813.68335],291.4296028892763
5,4,[58284.715 51463.457 34057.312 32047.805],[-1.3897246  -1.1252431  -0.75720435 -1.3052636 ],[ 0.42233065  2.8444142  -2.461321   -0.42970714],[124230.664  87630.414  44296.47   63450.848],[-1  1  1 -1],[13 11 13 11],[   0.     1455.5162    0.        0.    ],[-365.79526 -142.17987 -365.79526  922.01447],180.38379677958537
6,4,[62099.258 45178.12  39097.914 30508.545],[ 0.65607613  0.8252602  -0.26511255  0.04206427],[ 1.6601772  -0.10741931 -2.3765824  -1.88742   ],[75950.46 61455.79 40480.11 30535.54],[-1 -1  1  1],[11 13 13 11],[0. 0. 0. 0.],[-749.6062  -615.18665  -89.92615  291.1064 ],193.98833371478563
8,4,[44064.746 43165.836 20242.018 13644.965],[-0.3447281   1.9828615  -2.380774   -0.48073784],[-1.2361209  1.798873   2.8508987 -1.9592495],[ 46709.05  159738.9   110377.17   15252.303],[ 1 -1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[ 837.61725 1646.742   -285.55792 1484.9153 ],330.62420303775264
10,4,[113484.73   67930.59   46060.293  29286.94 ],[-1.6473645   0.17945807  1.5639592  -0.69908106],[ 2.190131   -0.20580655 -1.2845402  -2.6963623 ],[305604.8    69027.47  114851.516  36739.66 ],[ 1  1 -1 -1],[11 13 13 11],[1145.7562 1935.1244    0.     1155.5807],[ -67.75665 2074.4036  -809.7793   891.19775],490.66757266479556
14,4,[59304.945 45141.98  29524.533 22813.592],[-0.16603722  2.174258   -1.1019492  -0.484692  ],[-2.2050104  2.3486948  0.5746634 -2.4886034],[ 60124.297 201092.84   49339.19   25546.441],[-1 -1  1  1],[11 13 11 13],[0. 0. 0. 0.],[3033.961    -98.34438  567.8971  -150.44547],301.5446126085104
15,4,[46921.133 33055.855 13973.113  7055.496],[ 1.7617227   0.6986839  -0.92307776 -1.6496532 ],[ 0.14702004 -2.551367   -2.7134333   2.193453  ],[140627.55   41457.855  20361.059  19040.283],[-1  1  1 -1],[13 13 11 11],[2353.9421    0.     3045.702     0.    ],[ 784.91583 -581.13776  380.4658   518.6813 ],182.39650766867985
20,4,[109083.51   91871.62   62085.45   19011.938],[-2.552922    0.6322775  -0.22684439 -2.0376315 ],[-1.0926592 -3.0081475 -2.1603532  2.5582497],[704812.25 110855.59  63689.72  74172.8 ],[-1 -1  1  1],[13 11 11 13],[0. 0. 0. 0.],[-225.08736 -171.55225 -589.073   1184.527  ],599.7240062834786
22,4,[32098.969 23988.225 10938.237 10922.944],[-1.7034442   0.31041816  1.5763761   1.2163676 ],[ 1.1297538 -1.7851001 -1.9209598 -1.8945733],[91079.04  25153.281 27586.871 20050.217],[ 1 -1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[-357.19507  425.26138 1358.0961  -309.0597 ],159.2567183009362
