entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,mllll
0,4,[173914.67   46530.082  45124.55   43725.254],[-0.0839022   0.00092073  0.01618559 -0.04367671],[-1.8931401  -1.0337574   1.9665862  -0.16409457],[174527.2    46530.1    45130.46   43767.094],[ 1  1 -1 -1],[13 11 11 13],[0. 0. 0. 0.],[2446.9624  -787.9295  -610.22626 3026.1934 ],258.3447487117356
3,4,[107317.14   80416.51   50298.473  42466.17 ],[ 0.04276095 -0.5728763  -0.05755647 -0.00798214],[ 2.0644011  -0.69205546  1.2258893   1.2315239 ],[107415.27   93977.2    50381.918  42467.656],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-388.13953  655.7804  -308.70984 -113.45886],255.95408650618987
9,4,[53875.55  42115.426 37701.8   17913.379],[-0.7316406 -0.3455958 -1.0314783 -2.2057528],[-0.20055735 -2.6274686   1.593481    2.813551  ],[68950.195 44655.742 59600.688 82287.34 ],[-1  1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[1959.54       47.115295 -436.41748  -651.88214 ],176.4783451538522
11,4,[140654.16   52154.566  47773.61   24348.205],[1.7638096 0.5752824 1.5566216 1.4362799],[-3.0037568  -0.42904636  0.23892361  0.57067186],[422385.34   61025.496 118326.16   54087.625],[ 1 -1  1 -1],[11 11 13 13],[   0.     2968.0452    0.        0.    ],[ 110.317444 3193.8206    613.0197   -814.12256 ],291.9025369199929
13,4,[76498.52  39891.348 34669.074 12158.099],[2.349309   2.4492135  0.50628936 0.41438273],[-2.2072952   2.2335732  -0.07153511  0.5639177 ],[404438.6    232678.2     39208.145   13217.3955],[-1  1 -1  1],[13 11 11 13],[0. 0. 0. 0.],[-354.55695 2987.9536  2053.287   -504.1367 ],227.66111244713844
14,4,[89575.16  71615.49  29136.557 28617.31 ],[-0.9897719 -2.1840034 -1.1494975 -1.1301678],[-2.2207491  1.0745554 -0.8662126  1.6322964],[137152.2   322068.56   50601.492  48923.51 ],[ 1 -1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[ 899.85364 -726.55865 1441.7566    58.41333],251.52532092718317
17,4,[138469.25  98443.92  87853.7   57917.68],[ 0.86730087 -0.622391    0.05321565  0.93865275],[ 1.7530278 -1.4274545 -2.1175568  0.6402723],[193895.78  118134.62   87978.195  85361.664],[ 1  1 -1 -1],[11 13 13 11],[0. 0. 0. 0.],[ 931.97736 -594.00616  247.58759  331.01324],465.2794785181474
18,4,[92593.26  24597.4   20698.979 20543.166],[-0.26593226  0.51957065 -2.4488964  -0.60522383],[ 1.2707481  -0.84182096 -0.05883564 -3.035738  ],[ 95886.695  27992.844 120695.266  24421.863],[ 1 -1  1 -1],[11 11 11 11],[5406.4883    0.        0.        0.    ],[-1315.9397   -865.50055   586.1365   1701.2769 ],212.9148840988415
20,4,[92602.77  74203.05  46913.957 21397.533],[-0.02673818  0.18597527  0.370442    0.49997818],[-1.213601   2.232135   0.5172771  2.5452921],[92635.875 75489.98  50169.875 24128.17 ],[-1  1 -1  1],[11 11 11 11],[1426.6674    0.        0.        0.    ],[-807.4898 2205.9075 -710.6357 3886.6794],238.73811903803795
22,4,[80147.34  25878.836 10321.424  8506.544],[0.45505187 0.61997175 0.8803066  2.2139614 ],[-3.1194644  3.0229263 -0.6037754  2.5364785],[88589.67  31013.652 14586.076 39390.4  ],[-1  1 -1  1],[11 11 13 13],[24999.334  69942.32    1534.7974     0.    ],[-1343.1971  -566.3982 -1078.1057  -716.2923],92.26541027561159
24,4,[49213.633 34396.28  30402.168  8185.131],[ 1.047088    0.2056157  -0.09439249 -0.5352706 ],[-0.9994319  1.940585  -2.874915   1.4279344],[78749.195 35125.945 30537.893  9386.57 ],[ 1 -1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[-562.9685 1855.1531 -896.7356 -436.0979],140.1292645840132
