entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
8,4,[48273.773 24004.053 20221.58   7548.149],[ 1.8784134 -0.1003743  1.6155025  1.5846531],[ 2.5672183  -1.5339065  -0.28010005  0.03790146],[161619.34   24125.074  52871.402  19182.18 ],[-1  1  1 -1],[11 11 11 11],[   0.        0.     3461.9062 2043.7777],[2398.185   -227.1636   156.11526  596.9129 ],0.10245233628091735,136.48755843948558
14,4,[67883.19  65512.047 17316.459  8459.116],[ 0.19865201  0.3946478  -1.4409547  -0.901047  ],[-2.599057  -0.4234226  2.729704   2.5186198],[69227.02  70680.26  38628.22  12132.202],[ 1 -1 -1  1],[11 11 13 13],[   0.        0.     6620.8125 1410.7616],[ 375.51917 -281.99933  331.5216   260.7245 ],0.10813456423560244,182.72148290000035
15,4,[59560.016 46181.016 18394.504  7696.489],[ 1.8433225  -0.9793134   0.56280035 -0.88768137],[-2.9428213  -0.17863867  2.7241285  -2.0309079 ],[192848.92   70153.49   21385.652  10933.243],[-1  1  1 -1],[13 11 13 11],[   0.       0.    6393.721    0.   ],[ -132.08951 -1157.3695   5335.5845   3268.5488 ],0.05217430794975932,260.47514363900245
17,4,[169489.19  168114.39   26526.824   9734.584],[0.24973586 0.3033635  1.633233   1.580242  ],[-1.6698791  0.9912369  1.667108  -0.8025572],[174802.06  175909.67   70504.39   24638.506],[ 1 -1  1 -1],[11 13 13 11],[   0.        0.     7329.803  1916.2344],[1445.7786  -579.1784  -205.96242  387.83783],0.12319956219486722,398.84700175881267
29,4,[81198.305 45503.992 34075.367 17737.143],[0.19940227 0.93415016 0.59127545 0.40694186],[-0.30758142 -2.4370606   1.4413562   2.9387765 ],[82818.    66844.664 40207.426 19226.463],[-1  1 -1  1],[13 11 11 13],[0. 0. 0. 0.],[-956.9524   863.37225 3987.1096  4392.288  ],0.09922182383701411,183.62252700557573
37,4,[59224.824 50767.527 18544.51  12692.32 ],[ 0.83883065 -1.3463917  -0.68663657  1.610446  ],[ 0.49829105 -2.1232593  -2.2335033   2.1807141 ],[ 81312.    104167.586  23090.818  33030.926],[ 1 -1  1 -1],[11 11 13 13],[   0.       0.       0.    9357.863],[-1081.2168    606.451    2941.3062    -91.45654],0.10603596918854759,240.0370253479216
39,4,[34255.6   33221.375 28447.268  8926.063],[-1.1238108 -1.5382245 -1.6948656  1.3322145],[ 2.0037005  1.9735583 -1.9896716  1.205164 ],[58261.836 80911.945 80072.555 18090.395],[-1  1 -1  1],[11 11 13 13],[   0.     1088.8082 6207.335  1196.0103],[-954.52295    15.297455 1282.4268   -413.26672 ],0.0,143.8941995158671
40,4,[100329.78   22055.861  17837.764  14665.922],[-1.1339815  2.130246  -1.3465507  2.0953112],[-0.65016645 -1.7008499   0.9038032   0.46429735],[172053.33   94131.66   36605.73   60504.273],[ 1 -1 -1  1],[11 13 13 11],[ 1682.0881  1098.3849  5781.5073 15677.931 ],[-324.2005 1378.9197 1193.6047 1803.602 ],0.049767557493694534,342.6985663188053
52,4,[33120.492 32572.514 26265.918 18362.191],[ 0.10319435  2.0502505   1.8115797  -0.92763436],[ 2.0642126 -0.189081  -2.302493   1.2889196],[ 33297.    128637.81   82521.06   26845.812],[ 1 -1  1 -1],[11 11 13 13],[   0.        0.     8301.987  3088.9294],[ 867.6992   711.5575  5642.075    257.65503],0.1274398269537873,195.8433069058455
59,4,[60396.75  16784.803 14657.228  9027.946],[0.149055   0.7600807  1.5733037  0.23323986],[-1.6148374  2.0655339 -1.5982398  2.2587924],[61069.016 21871.248 36862.44   9274.625],[-1  1 -1  1],[13 11 13 11],[   0.     2617.5154 2675.6067 1031.8934],[ -63.25183 -236.14905 4082.018    963.8947 ],0.05073128482439345,100.31617821574308
66,4,[66792.836 43437.617 30845.94  12216.306],[0.10548521 1.5377233  1.1854242  1.179514  ],[1.0727568  2.9641876  0.01313575 0.08076464],[ 67164.79  105745.72   55178.62   21746.633],[ 1 -1  1 -1],[11 13 11 13],[   0.       0.       0.    3855.171],[ 112.93594  257.1115  3256.539   6389.009  ],0.06003932432855758,169.806975505381
69,4,[45000.082  20478.416  14029.243   7328.2896],[-0.8698761   0.67660594  0.8602029   0.8876861 ],[-0.68343604 -2.0897799  -0.6250139  -1.65587   ],[63126.62  25347.678 19547.762 10410.233],[ 1 -1 -1  1],[13 13 11 11],[    0.        0.    19246.797     0.   ],[  257.8731   -971.17426  1373.6312  -1320.7965 ],0.09058884475395279,94.28315997784561
72,4,[29342.447 17036.578 16813.432  8844.71 ],[1.9834027  1.9537777  0.45107734 2.4354987 ],[ 1.6447144  2.085864  -2.1610932 -0.1544347],[108640.85   61306.453  18553.455  50897.184],[-1  1  1 -1],[11 13 13 11],[0. 0. 0. 0.],[-357.12244  353.82953 5279.051   3948.9202 ],0.06683526511601848,85.52079700531851
79,4,[55759.895  50800.266  17250.904   7045.6763],[-0.11035569 -0.7785718   0.01537391  0.22833891],[ 1.1794348  -1.8387854  -0.885232   -0.94326174],[56099.87  66990.82  17253.266  7230.152],[ 1 -1  1 -1],[13 11 13 11],[ 1244.5425     0.     19195.154  29860.674 ],[  39.77191  964.2511  7753.065   1902.7893 ],0.12052849589225297,136.68717590101136
81,4,[85814.32  36162.605 26535.99  20956.734],[ 1.9067181   0.38401708  1.8708668  -1.3697509 ],[-0.9009635  2.9539194  2.1229455  0.0435558],[295181.06   38861.97   88204.54   43889.195],[ 1 -1 -1  1],[11 11 13 13],[   0.        0.     3947.8503 8067.1987],[-597.6487   321.53903 -332.34155 -596.34753],0.060275666775331666,313.3462222288072
86,4,[88417.62  50536.797 26003.021  8690.205],[ 1.2236919   0.41030306  1.9806463  -0.18572408],[ 2.7600825  -2.7276647  -0.05253088 -0.45031443],[163301.08    54850.71    96021.484    8841.1455],[ 1 -1  1 -1],[11 11 13 13],[   0.   1098.77 4952.17    0.  ],[-851.0979   777.3656  -250.11075 -503.5393 ],0.07978724970752386,182.0206569850302
92,4,[82846.13   42133.645  13690.8955 10904.688 ],[-0.57179385 -1.2233465  -0.2465615  -0.28652853],[-1.972176   3.128395   1.8535697  2.0796852],[96762.43  77795.26  14109.556 11355.39 ],[-1  1 -1  1],[13 11 13 11],[    0.        0.    11702.691 17316.584],[ -845.5259  1196.7681 12251.476   3654.815 ],0.044919092563623045,123.79618470771412
