entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
10,2,[176121.16   39629.145],[-0.833492    0.09470307],[-0.29423872  0.56729376],[272.14844 -26.38977],[0. 0.],[ True  True],106.42070655445623
86,2,[78156.23 66979.34],[0.22070466 1.0673687 ],[-3.0690844  0.0128004],[2606.6353   566.02026],[15639.62    8154.3813],[ True  True],157.80651695283652
106,2,[59702.844 36279.23 ],[-0.4967246   0.94473416],[-1.2497647  1.4425606],[ -480.21967 -2154.9126 ],[0. 0.],[ True  True],116.48930458307771
200,2,[59590.574 48349.22 ],[0.6774545 1.6576614],[ 1.0736746 -1.483528 ],[-105.30765 -621.71686],[   0.     1157.8744],[ True  True],116.4708812301062
223,2,[43482.766 30917.154],[-1.7178351  0.6907306],[ 2.3396888 -0.7615268],[1549.5748   76.7912],[4788.7676 4244.29  ],[ True  True],133.24446180552064
302,2,[73188.805 62626.11 ],[-0.01203904 -0.9310957 ],[ 0.48610106 -2.2760658 ],[2072.0452  303.5694],[   0.     1422.6685],[ True  True],147.76328133505413
341,2,[60071.027 40881.76 ],[-2.0545573  -0.30589056],[3.0553482 1.0289464],[-1078.194     505.85193],[0. 0.],[ True  True],129.235620507604
350,2,[69681.484 60505.062],[-1.1541251  -0.41530284],[1.1309185 2.886971 ],[-394.69073  611.0216 ],[0. 0.],[ True  True],111.32541764241107
362,2,[58575.637 32890.883],[-0.37193927  0.7562568 ],[-2.50527    0.6659228],[-413.59747 -140.87482],[    0.    12419.702],[ True  True],102.11933443875054
437,2,[47097.914 34739.3  ],[ 0.20302255 -2.3495684 ],[ 1.0368749 -2.141124 ],[ 233.87299 -543.8405 ],[0. 0.],[ True  True],156.22495415921009
440,2,[59516.35 48441.58],[-1.3653101   0.51281506],[ 1.2965094 -2.1367815],[124.52887  -32.072937],[0. 0.],[ True  True],157.55031755485393
483,2,[66953.195 52163.344],[-0.38932773  0.3353526 ],[-0.08730574 -2.9938436 ],[-753.4944 2052.269 ],[0. 0.],[ True  True],125.27468867937493
498,2,[81363.21  35330.367],[-2.3569803 -2.2189791],[-2.4541278  1.1054503],[974.4048 311.4533],[5153.2324    0.    ],[ True  True],105.15818946928957
576,2,[91145.63  44970.758],[-1.0076274 -1.7163353],[ 1.0256789 -1.4027835],[ 81.9895  205.18153],[0. 0.],[ True  True],128.62450002199202
760,2,[62238.594 44483.695],[2.2227774 1.9263718],[ 1.214282  -2.1004555],[ 295.09814 1780.3325 ],[   0.     3627.8438],[ True  True],106.00303039411433
805,2,[77831.05 57648.26],[-1.3553761 -0.6683185],[-0.6478549 -3.1411016],[ 495.5526  -180.47116],[0. 0.],[ True  True],135.38476170927078
931,2,[56611.   38027.93],[2.1528535  0.56228524],[ 2.029906  -1.1647834],[ 366.89853 2505.1436 ],[0. 0.],[ True  True],123.69753207753135
1045,2,[59964.52 44662.65],[-0.9927653 -2.1154306],[ 1.8262987 -2.7015135],[1157.1874  -334.47775],[0. 0.],[ True  True],100.42252099031256
1301,2,[43710.81  32242.664],[0.29792923 2.0750656 ],[ 2.86009    -0.37974536],[1388.524     74.49309],[0. 0.],[ True  True],106.66221779808649
1500,2,[68584.945 65940.11 ],[-1.0334294 -1.2312467],[ 1.319768  -1.8859671],[-851.8297  -629.91986],[0. 0.],[ True  True],135.08865862938646
1515,2,[79402.664 44580.242],[2.3535085 0.7274794],[ 1.7484694 -1.1163136],[1505.2517 -929.5913],[0. 0.],[ True  True],159.69166957181088
1563,2,[42395.48 36147.71],[-0.9166264  1.3470873],[-0.486505   2.4777555],[1280.6266  623.2776],[1199.0563    0.    ],[ True  True],133.85431356322232
1606,2,[46202.73  41399.043],[-1.6914583   0.18697841],[-2.011539   1.1880974],[ -98.07684 1145.4324 ],[0. 0.],[ True  True],128.9457538206458
1703,2,[69734.22 49125.91],[1.5585984 1.7585458],[-2.0060987  0.9688917],[2689.6055 2853.7324],[12023.949  9784.623],[ True  True],117.24152945676366
1705,2,[61760.63  49258.004],[-0.93412876 -1.5711421 ],[ 2.7252843 -0.4601444],[2663.5388 2647.3103],[4297.683    0.   ],[ True  True],115.93003893002259
1811,2,[55020.902 50221.086],[1.1852866 1.8160676],[-2.8438895   0.36973712],[361.92313 140.11584],[   0.     1425.5819],[ True  True],110.33986401760369
1843,2,[61635.12 42073.71],[-0.47526586  0.8462594 ],[-0.98567694  2.1102102 ],[ 516.0061 3074.7449],[ 8771.421 13718.157],[ True  True],124.88006954478718
1851,2,[52322.93 44719.56],[-0.23669131  0.89681166],[ 0.89100975 -1.2418524 ],[-116.261566  955.48145 ],[1938.2739    0.    ],[ True  True],102.54760146335722
1936,2,[68252.72  37473.895],[-1.7994602  -0.78240246],[-1.4923506  1.5725262],[2380.1846 1107.5305],[3117.8445 5148.029 ],[ True  True],114.44431873287269
2102,2,[66315.516 58982.91 ],[1.0495545 0.8468182],[-1.4219398  1.8548613],[1939.6744     13.277618],[0. 0.],[ True  True],125.44262157518206
2108,2,[43243.465 39495.22 ],[ 0.18047532 -1.7139763 ],[ 1.0358716 -2.2489297],[ 574.6035  -359.20618],[0. 0.],[ True  True],122.44774223067347
2126,2,[80462.516 40987.734],[0.60702765 0.97406363],[-3.009242   0.4841587],[-571.96497 3042.6416 ],[1805.7849    0.    ],[ True  True],115.0530697158142
2373,2,[50780.06 41239.04],[-0.68234664  0.21197969],[-2.407267   0.5568088],[-1550.7817    481.96164],[   0.     2380.4146],[ True  True],100.49995144365127
2550,2,[60445.09 55092.63],[ 0.26797947 -1.3506894 ],[-1.378555  1.779774],[  -82.91147 -1941.7444 ],[0. 0.],[ True  True],155.3187917077704
2669,2,[56931.41  31796.836],[-1.6715826  0.9018579],[ 2.6101654 -2.2700863],[-1006.5687   -142.42581],[   0.     6043.8555],[ True  True],152.53509818244524
2682,2,[44751.992 31441.578],[-0.62501746  1.260443  ],[ 0.89183336 -1.8411826 ],[-1392.6161 -1313.6243],[0. 0.],[ True  True],109.85350884139345
2703,2,[56641.445 33549.492],[-0.2823485  1.2195914],[-1.5195215  1.18623  ],[537.45996 775.88226],[   0.    6076.688],[ True  True],111.36216240744044
2757,2,[49884.19  47065.074],[-1.6113126 -0.6150472],[ 0.8910209 -2.3624759],[-511.80646  262.91824],[1088.3015    0.    ],[ True  True],109.04759427412351
2779,2,[50503.797 31079.838],[ 1.1984264 -1.0355035],[ 0.8658459 -2.8196278],[-1356.2186    669.30347],[ 4082.9172 26644.979 ],[ True  True],132.32328830930834
2800,2,[132740.16  37359.96],[-0.14351057 -0.13753438],[-2.624338    0.19305794],[-1754.5212 -1113.2896],[0. 0.],[ True  True],138.99700960275734
