entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
7,2,[46711.996 39697.824],[0.3499346 1.6207104],[ 1.6130321 -1.8166792],[-627.6964 2337.0925],[0. 0.],[ True  True],103.36566129848042
56,2,[62398.63  45118.684],[0.6218112 0.1830656],[-1.3126942  1.5717896],[-868.8413 2653.3008],[7243.805 3826.966],[ True  True],107.82851040972433
64,2,[52379.69 31454.28],[-0.77385044  1.5772508 ],[-2.7924385   0.13363624],[ 194.0173 1277.1652],[0. 0.],[ True  True],143.7725799143578
141,2,[76746.47  43024.195],[-1.5337746  -0.15409209],[-2.315438    0.72195166],[-807.48206 3412.2078 ],[   0.     1065.8201],[ True  True],143.24745904979733
148,2,[77004.54  34998.254],[-1.7222849 -1.6390427],[ 0.7939826 -2.2561975],[3985.6855  964.3561],[7986.473 6384.729],[ True  True],103.8088543833779
149,2,[49932.11 44504.47],[-0.07443921 -1.304426  ],[-1.1290283  1.6510837],[222.78088 463.3968 ],[   0.    7652.538],[ True  True],111.39697164799291
159,2,[61135.145 33012.496],[-1.8463265  0.0457232],[-1.1996965  2.1127005],[2440.0962 1968.2655],[2706.949  1860.8759],[ True  True],132.92388877721038
196,2,[69163.38  67940.516],[-0.4060498   0.27967063],[-1.2188601  1.8714064],[1422.9542 1142.9431],[0. 0.],[ True  True],145.19325603239267
251,2,[55227.67  33620.207],[1.6942639  0.44942856],[0.04003102 2.618088  ],[ 464.45197 -192.23581],[0. 0.],[ True  True],100.6052009744358
332,2,[65690.305 46167.44 ],[-1.6195588 -2.2137527],[ 1.1915613 -1.8876082],[ 130.61475 3248.1274 ],[32750.625   7710.7397],[ True  True],114.98626071767708
364,2,[49424.004 44847.504],[0.4468212 1.758896 ],[-2.4462588  1.4997008],[1615.645    601.05707],[0. 0.],[ True  True],109.10283506551342
367,2,[69782.29  49648.656],[ 0.35082415 -0.3295962 ],[-1.6754371  1.9344864],[-500.5305  -955.19446],[20057.303     0.   ],[ True  True],121.56944971474081
402,2,[69843.22  64238.176],[1.1741812 1.2617112],[3.1161659  0.35353792],[-1922.9785  1924.6868],[2828.9631    0.    ],[ True  True],131.69713386702745
584,2,[68889.414 46090.754],[0.8576317 1.6879315],[-2.9641418   0.13102429],[956.0277  -73.94977],[0. 0.],[ True  True],122.5212229602239
776,2,[77346.5   38041.613],[0.05888188 1.5596956 ],[ 0.3793848 -1.8646439],[-258.68884 1568.806  ],[1045.097  7428.4644],[ True  True],132.37388299948972
805,2,[116738.195  53635.543],[ 0.02614938 -0.44798213],[ 3.1177018 -0.7433892],[1662.5779   608.64703],[0. 0.],[ True  True],152.89040848291236
848,2,[92910.95  32189.264],[-2.084029  -0.0124152],[-3.116174   1.9458344],[2817.0625 1355.0729],[168784.4      0. ],[ True  True],148.55036818841714
958,2,[66078.18  45231.297],[-1.1330191  -0.42443368],[-1.7732073   0.27164516],[ 224.13248 2382.2522 ],[   0.    6440.506],[ True  True],101.34534832784306
986,2,[58405.84 42647.66],[-1.0583131  -0.07347943],[ 1.0350164 -2.3091393],[-127.77527  739.32684],[0. 0.],[ True  True],111.7103918148277
1094,2,[56545.05  46917.195],[-0.3121546 -1.2104373],[-1.1786168  1.9390484],[ -4.2969055 -27.470917 ],[   0.    6433.313],[ True  True],113.57279633698137
1130,2,[65400.12 49117.41],[1.5639242 0.8303821],[2.608884   0.17799623],[-663.5106 3195.3228],[   0.    4398.858],[ True  True],114.46026875556467
1168,2,[63157.83  44519.375],[-0.8627884   0.97792524],[3.0632615  0.19663489],[-936.79095 3664.5361 ],[0. 0.],[ True  True],153.5428009609111
1296,2,[53503.6  42074.17],[-1.6357133 -0.5570661],[-1.2108476  2.0265825],[-626.4865 1141.6555],[0. 0.],[ True  True],108.93552847708699
1304,2,[75049.7   39489.742],[-0.5517702 -1.0235023],[-0.91536665  1.6823909 ],[-864.84393  635.19214],[   0.    7313.572],[ True  True],108.03457276686869
1320,2,[92679.836 54657.117],[-0.11343441 -0.9674552 ],[ 0.94704354 -2.7525012 ],[1105.8386   455.73752],[11059.67     0.  ],[ True  True],150.50135825922317
1336,2,[53320.46 46529.89],[-0.26014552 -0.90815467],[ 1.8637395 -1.661603 ],[-745.9336     37.070374],[0. 0.],[ True  True],103.15939623553291
1361,2,[59238.402 37449.887],[-0.925338    0.35083553],[-0.68134594  1.7127522 ],[3235.6055   101.67688],[22095.85     0.  ],[ True  True],108.72801405771477
1418,2,[74757.766 68105.51 ],[-1.6198759  -0.84345156],[ 0.29176491 -2.8749394 ],[ 1276.6083 -1140.7429],[2744.1123    0.    ],[ True  True],153.587288957104
1471,2,[71001.836 63694.582],[1.6381987 1.6289929],[-2.8921194  0.6094403],[-620.92694  242.29015],[1016.48486    0.     ],[ True  True],132.32691585297022
1475,2,[52527.61  48623.555],[-0.694185  -0.5177181],[-1.2833645  1.8374205],[-79.62799 213.39871],[0. 0.],[ True  True],101.46404633534218
1640,2,[45948.406 39929.53 ],[0.8509178 2.3307564],[0.19831283 2.8916276 ],[ 716.9639 1585.0247],[0. 0.],[ True  True],108.54945704661114
1677,2,[67672.7   50576.453],[0.17270134 0.6388388 ],[-2.7467158   0.39520344],[ 378.58536 2083.1785 ],[   0.     2512.2576],[ True  True],120.19913150983358
1709,2,[46255.707 41588.668],[-0.91173    1.2431052],[-1.2179253  2.4286156],[3762.0684   203.32373],[   0.   5622.72],[ True  True],142.07434317351138
