entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
56,2,[103361.555  59873.21 ],[-0.9575728  -0.14099199],[-0.9036658  1.0120075],[1980.9695 -156.0227],[0. 0.],[ True  True],144.64680774668307
156,2,[60213.08  48670.676],[-0.01723813  1.5936843 ],[0.3338222 3.114369 ],[80.52951  28.591248],[0. 0.],[ True  True],144.02574335892638
186,2,[62735.64 40822.31],[-1.1929407 -1.7045256],[0.13184549 2.8370109 ],[ 450.48236 1100.9695 ],[   0.     1708.1287],[ True  True],102.22019285966974
215,2,[70463.375 52634.176],[ 0.10016214 -0.9219207 ],[-1.3729546  1.5844898],[1332.0061 1431.9795],[    0.    12321.376],[ True  True],137.5985283399883
249,2,[84975.93  64392.348],[0.47274673 0.7545433 ],[ 1.2976459 -1.9853221],[1797.7958 -760.06  ],[0. 0.],[ True  True],149.04834921841618
309,2,[95265.164 40881.848],[0.5856939  0.39261118],[ 2.92598    -0.45698214],[2716.0715 -632.6273],[10357.098     0.   ],[ True  True],124.49221752168926
322,2,[44935.137 44802.805],[ 0.14454594 -1.2913718 ],[ 2.2078562 -1.0304978],[2684.7397  884.9653],[0. 0.],[ True  True],113.79418898714886
349,2,[50253.754 30330.889],[ 1.7549095  -0.69390637],[-2.7773824  1.8105515],[ 244.27686 1514.2063 ],[36293.707 10011.076],[ True  True],134.73172320557987
397,2,[46936.844 36276.68 ],[ 1.5735704 -0.8971405],[ 1.0750357 -1.2927117],[1548.8857   297.30615],[    0.    10478.677],[ True  True],150.7452278782589
398,2,[67534.52 62516.1 ],[-0.05484038  0.12163121],[ 2.943216   -0.22554998],[-359.24646 -309.41278],[1158.372    0.   ],[ True  True],130.44802450061624
402,2,[78047.69  43883.188],[1.2264069 1.0306497],[ 0.8065598 -2.210459 ],[-311.80646  -53.94919],[0. 0.],[ True  True],117.38190195564665
434,2,[64027.6  35601.41],[0.9341459  0.32001823],[-3.0826056   0.09988424],[3033.8118 1226.2008],[0. 0.],[ True  True],100.00575653748439
509,2,[59188.75  43209.516],[-2.044911   -0.09345518],[ 2.9085402  -0.35066235],[-611.98975 1228.0082 ],[ 4894.995 16500.773],[ True  True],153.1183037737607
588,2,[96005.05  57713.348],[1.5826     0.85454607],[ 1.3893065 -1.7146883],[-779.2843  -220.62445],[   0.     1134.3018],[ True  True],158.82147172962408
627,2,[83172.33 30386.69],[-0.86868864 -0.6427827 ],[-1.8373196  1.1912218],[-501.8374  -466.52576],[0. 0.],[ True  True],101.0276623566733
630,2,[55939.445 50774.99 ],[ 0.55537254 -0.22384284],[-2.0226226  1.9006888],[1752.1667  131.1081],[1718.4   4244.589],[ True  True],107.35852330360426
696,2,[51892.367 39972.56 ],[-0.9911675   0.94060385],[ 0.11661992 -2.6702108 ],[2326.338  -967.3485],[0. 0.],[ True  True],136.03968756429083
699,2,[56372.73  33260.184],[ 1.5753802 -0.4706765],[-0.7070826  2.0308642],[2474.5505 -545.5417],[   0.    5553.035],[ True  True],134.90048835360324
746,2,[65905.99 48882.91],[-1.0791259 -0.3685891],[-2.685851   0.4998236],[3597.1465 2512.4736],[10160.398 14107.287],[ True  True],120.73335597357733
755,2,[79588.49  39707.043],[-0.29874966  0.22356443],[ 1.0615216 -3.0625544],[-1050.6311   285.3895],[0. 0.],[ True  True],103.48893546843995
777,2,[89264.78  53934.426],[1.2750518 1.0004305],[ 0.07802773 -3.0221977 ],[ -15.875732 -401.77475 ],[0. 0.],[ True  True],140.0532738000799
825,2,[61619.812 51635.5  ],[-0.10477128  1.366995  ],[-1.7071832  1.339249 ],[-269.90997 3040.859  ],[0. 0.],[ True  True],144.66428796877798
943,2,[86246.77  35826.277],[-0.750598  -1.2602706],[3.0663855  0.20321459],[-1438.7975  2671.5981],[    0.    12804.561],[ True  True],113.76202988164181
980,2,[70728.64 38088.14],[0.8222079 1.1968783],[ 0.24164893 -2.9692755 ],[1719.7245 2752.6843],[0. 0.],[ True  True],105.57157391603094
992,2,[69771.445 33135.305],[-1.2853913 -0.0023565],[ 2.5465748 -1.2721832],[-284.75604 2510.3203 ],[   0.   3302.74],[ True  True],112.18176478907037
1010,2,[62471.56 39018.23],[-0.0709671 -1.2116373],[ 0.89575106 -2.170713  ],[80.48538 82.48303],[   0.     1323.2238],[ True  True],115.1826979344819
1194,2,[95705.16  44369.844],[0.5919259 0.8302042],[-0.50663006 -2.513236  ],[1519.5305  -249.86072],[0. 0.],[ True  True],110.99682358897701
1224,2,[70702.59  60375.434],[-0.01075432 -1.1943916 ],[ 1.1821352 -1.8688635],[1143.2732 2463.994 ],[0. 0.],[ True  True],154.11643171713501
1255,2,[72049.31  30060.936],[1.5244952  0.30370876],[ 1.2238384 -2.1743362],[-508.83588 1463.335  ],[0. 0.],[ True  True],110.32152104645535
1293,2,[59237.08  32774.777],[ 1.5295234 -0.518431 ],[ 0.98254174 -2.6929886 ],[3959.1191  1015.33496],[3269.9211    0.    ],[ True  True],136.54069792419241
1347,2,[68424.11 48077.53],[ 0.7073806 -1.1239511],[-1.170913   0.5123412],[1303.4171  814.9106],[11171.6455     0.    ],[ True  True],147.64840959114227
1357,2,[66745.95  31587.102],[-0.9621649  1.0372227],[-1.7499174  1.3761554],[566.5655 512.1787],[5895.609  5882.4126],[ True  True],141.67043105603614
1380,2,[43903.5   36080.574],[-1.2878397   0.49380177],[-0.9680364  2.3892097],[ 736.56744 1699.1265 ],[   0.    8834.614],[ True  True],113.00503930149455
1576,2,[78021.93 41334.14],[0.89442444 1.1464456 ],[ 1.2298039 -1.7695237],[-117.34601  756.7272 ],[0. 0.],[ True  True],114.19560330558485
1637,2,[78092.28  45567.895],[0.9574556  0.11508404],[ 0.12785704 -2.9182665 ],[ 26.505981 583.75305 ],[   0.    3459.556],[ True  True],129.92136539153688
1655,2,[64612.96 57380.49],[1.5610509 0.7383026],[-1.3882267   0.79425126],[ 468.574   -358.87933],[8855.853  1014.2885],[ True  True],119.69787008454043
1693,2,[68627.484 48079.082],[-0.2871559 -0.4263204],[-2.86227    0.2895549],[2181.477  1028.8499],[   0.     1841.7772],[ True  True],115.16008451675943
1760,2,[96029.875 62302.773],[ 0.10388485 -0.5223737 ],[-3.040231   -0.55115163],[1073.5702   321.60278],[1195.1896    0.    ],[ True  True],154.58865748976086
1813,2,[61485.305 52175.39 ],[-2.0934808 -2.1174738],[ 2.8810031  -0.45442453],[814.18054  -8.66452],[0. 0.],[ True  True],112.75535920192986
1822,2,[100727.06   33190.355],[0.570809  1.1128109],[ 0.8573409 -2.5386777],[ 999.21875 2629.365  ],[   0.     7509.6533],[ True  True],119.0118031954275
1852,2,[78778.04 39645.43],[-0.9123006  -0.74738634],[-2.8560376  -0.05996663],[ 614.6761 3240.6467],[0. 0.],[ True  True],110.49308703834642
1860,2,[45112.52  37300.668],[-0.04681213  1.3692086 ],[ 2.474772   -0.41165668],[2189.3188  920.6201],[   0.     1605.7452],[ True  True],102.95069371239995
1892,2,[55303.254 46673.38 ],[0.6889693 2.0616465],[ 0.63399875 -1.8025647 ],[-467.7872 2811.8975],[6902.4927    0.    ],[ True  True],121.53555755732019
1894,2,[59834.387 40282.707],[-1.0929608  1.1436937],[-2.6236334  1.5855991],[2708.4553 1068.3845],[12694.371   5321.8774],[ True  True],158.57791078397796
1915,2,[54097.453 46002.855],[1.7487178  0.85631543],[ 2.7703865  -0.29933473],[944.55804 185.14899],[2549.893    0.   ],[ True  True],109.81200656440134
1941,2,[100948.96   40665.652],[ 0.36177054 -0.3680016 ],[-1.7176551  1.2410427],[ 999.1057 2432.8677],[0. 0.],[ True  True],136.26710187804062
2019,2,[46758.035 31104.43 ],[0.26663935 2.2841258 ],[-2.66109     0.75272185],[ -43.55966 -299.63385],[0. 0.],[ True  True],118.03030718049393
2258,2,[64498.914 52093.35 ],[0.34999686 1.1054568 ],[ 2.5506334  -0.68321645],[-232.32639 -587.99817],[   0.    2718.146],[ True  True],124.18467116924519
2285,2,[48114.816 35450.957],[-0.35662442  1.3223628 ],[2.7623205  0.05323963],[2114.0374 3601.2517],[0. 0.],[ True  True],112.06412936145406
2362,2,[57827.35  43272.383],[ 0.38605708 -0.1749697 ],[ 2.439727  -0.1277416],[1428.3943 1371.9076],[13870.295 15835.161],[ True  True],100.07692736072966
2371,2,[71089.95  59803.477],[1.3422087 1.0605916],[-2.9750364   0.34821796],[ 653.2498 3580.7886],[   0.    8717.147],[ True  True],131.16858225577042
2422,2,[57585.676 36539.15 ],[-1.2108222  0.8478477],[-1.8781444  1.4208754],[2107.102   -94.8295],[0. 0.],[ True  True],144.6090290078311
2482,2,[55337.605 40947.93 ],[2.238322   0.48797593],[ 2.757165   -0.19775036],[1668.4008 2149.3389],[8715.254 5664.027],[ True  True],133.75734844372477
2551,2,[72410.25 64472.21],[-0.46040443  0.1977251 ],[ 1.8155998 -1.5734636],[ 108.35608 -393.45862],[0. 0.],[ True  True],143.1274304997073
2561,2,[50658.55  30477.367],[0.00523707 1.6243589 ],[ 2.5145028 -0.5131306],[-658.682  3742.8389],[3131.109    0.   ],[ True  True],105.68101783144249
2566,2,[106032.766  30287.717],[ 1.2421813  -0.58964264],[ 0.2759708 -1.5940566],[ -42.862427 1254.283   ],[0. 0.],[ True  True],149.8807714373456
2595,2,[51890.25 35205.58],[ 0.02800832 -1.7040716 ],[ 2.2893558 -1.2451558],[-374.8238   469.01605],[0. 0.],[ True  True],118.42454262972294
2619,2,[59924.777 54991.297],[-0.8664933  0.7402809],[-0.3575331  2.377389 ],[-1285.0619  -406.7563],[    0.    13478.438],[ True  True],152.14094316847743
2623,2,[61697.496 35253.344],[-1.0755887   0.09166594],[-1.7594038  0.8295984],[3354.8691 2805.5803],[16756.473   2928.4832],[ True  True],106.62236948739104
2673,2,[69739.9   42431.152],[-2.1405652 -1.6596699],[-1.2207882  2.4739912],[2668.2578  733.1161],[1138.1621    0.    ],[ True  True],107.94217854326581
2711,2,[87459.29  34080.062],[-1.930682  -1.8983266],[3.0120099  0.24184364],[-551.0077  302.1523],[    0.    10722.374],[ True  True],107.327067172945
2838,2,[94796.26  62186.223],[0.9686623 0.5191225],[2.4995759  0.14989206],[-335.85114  664.84973],[0. 0.],[ True  True],145.89004642000356
2909,2,[52709.668 52130.418],[-1.687636   -0.38623765],[ 0.24499156 -2.6196947 ],[-583.39514   18.89154],[1014.25793    0.     ],[ True  True],127.00603695245636
3040,2,[93785.125 52134.95 ],[-0.18796769 -0.15289184],[ 0.8023354 -0.951596 ],[-936.681  -406.1148],[0. 0.],[ True  True],107.54468618444479
3079,2,[48929.91  45276.258],[1.9492123  0.80563706],[-2.6230612  0.7399328],[-207.96039  -92.1936 ],[0. 0.],[ True  True],109.45455347037684
3115,2,[63470.902 53127.848],[ 1.327334   -0.05693573],[-2.4358604  0.7524039],[2904.0376 2873.2422],[0. 0.],[ True  True],145.06046139666594
3225,2,[157690.22   31327.582],[0.7770799  0.21350086],[0.30867118 2.605728  ],[-1004.60583   540.1139 ],[   0.     4092.5002],[ True  True],134.35888466493364
3228,2,[58692.023 35953.76 ],[-0.6212675 -1.8228151],[ 3.0468404  -0.03261995],[1386.9346   125.81033],[   0.     5321.2856],[ True  True],108.92111812895142
3245,2,[48200.79  39667.867],[ 1.1238388  -0.06595857],[-0.5451556  2.7071695],[341.0429 -98.8996],[1539.1534 1697.2501],[ True  True],103.27691005602858
3264,2,[99975.305 34545.53 ],[1.8664026 0.9798153],[-0.99115604  2.6939094 ],[ 288.22412 1877.0298 ],[    0.    41424.332],[ True  True],125.36687380469672
3267,2,[92569.22 37106.65],[0.7096281 1.0690045],[ 2.8564868  -0.20193124],[1222.51   -793.8871],[0. 0.],[ True  True],119.01431135641175
3274,2,[54824.844 40327.734],[0.7567136 2.0033631],[-2.201974    0.43793803],[3972.6213 2100.1384],[0. 0.],[ True  True],110.47087172058534
